LoanID,accm_txn_complete_time
1,5/18/2022 0:00
2,5/19/2022 0:00
3,5/14/2022 0:00
4,5/15/2022 0:00
5,5/16/2022 0:00
6,5/17/2022 0:00
7,5/18/2022 0:00
8,5/19/2022 0:00
9,5/14/2022 0:00
10,5/15/2022 0:00
11,5/16/2022 0:00
12,5/17/2022 0:00
13,5/18/2022 0:00
14,5/19/2022 0:00
15,5/14/2022 0:00
16,5/15/2022 0:00
17,5/16/2022 0:00
18,5/17/2022 0:00
19,5/18/2022 0:00
20,5/19/2022 0:00
21,5/14/2022 0:00
22,5/15/2022 0:00
23,5/16/2022 0:00
24,5/17/2022 0:00
25,5/18/2022 0:00
26,5/19/2022 0:00
27,5/14/2022 0:00
28,5/15/2022 0:00
29,5/16/2022 0:00
30,5/17/2022 0:00
31,5/18/2022 0:00
32,5/19/2022 0:00
33,5/14/2022 0:00
34,5/15/2022 0:00
35,5/16/2022 0:00
36,5/17/2022 0:00
37,5/18/2022 0:00
38,5/19/2022 0:00
39,5/14/2022 0:00
40,5/15/2022 0:00
41,5/16/2022 0:00
42,5/17/2022 0:00
43,5/18/2022 0:00
44,5/19/2022 0:00
45,5/14/2022 0:00
46,5/15/2022 0:00
47,5/16/2022 0:00
48,5/17/2022 0:00
49,5/18/2022 0:00
50,5/19/2022 0:00
51,5/14/2022 0:00
52,5/15/2022 0:00
53,5/16/2022 0:00
54,5/17/2022 0:00
55,5/18/2022 0:00
56,5/19/2022 0:00
57,5/14/2022 0:00
58,5/15/2022 0:00
59,5/16/2022 0:00
60,5/17/2022 0:00
61,5/18/2022 0:00
62,5/19/2022 0:00
63,5/14/2022 0:00
64,5/15/2022 0:00
65,5/16/2022 0:00
66,5/17/2022 0:00
67,5/18/2022 0:00
68,5/19/2022 0:00
69,5/14/2022 0:00
70,5/15/2022 0:00
71,5/16/2022 0:00
72,5/17/2022 0:00
73,5/18/2022 0:00
74,5/19/2022 0:00
75,5/14/2022 0:00
76,5/15/2022 0:00
77,5/16/2022 0:00
78,5/17/2022 0:00
79,5/18/2022 0:00
80,5/19/2022 0:00
81,5/14/2022 0:00
82,5/15/2022 0:00
83,5/16/2022 0:00
84,5/17/2022 0:00
85,5/18/2022 0:00
86,5/19/2022 0:00
87,5/14/2022 0:00
88,5/15/2022 0:00
89,5/16/2022 0:00
90,5/17/2022 0:00
91,5/18/2022 0:00
92,5/19/2022 0:00
93,5/14/2022 0:00
94,5/15/2022 0:00
95,5/16/2022 0:00
96,5/17/2022 0:00
97,5/18/2022 0:00
98,5/19/2022 0:00
99,5/14/2022 0:00
100,5/15/2022 0:00
101,5/16/2022 0:00
102,5/17/2022 0:00
103,5/18/2022 0:00
104,5/19/2022 0:00
105,5/14/2022 0:00
106,5/15/2022 0:00
107,5/16/2022 0:00
108,5/17/2022 0:00
109,5/18/2022 0:00
110,5/19/2022 0:00
111,5/14/2022 0:00
112,5/15/2022 0:00
113,5/16/2022 0:00
114,5/17/2022 0:00
115,5/18/2022 0:00
116,5/19/2022 0:00
117,5/14/2022 0:00
118,5/15/2022 0:00
119,5/16/2022 0:00
120,5/17/2022 0:00
121,5/18/2022 0:00
122,5/19/2022 0:00
123,5/14/2022 0:00
124,5/15/2022 0:00
125,5/16/2022 0:00
126,5/17/2022 0:00
127,5/18/2022 0:00
128,5/19/2022 0:00
129,5/14/2022 0:00
130,5/15/2022 0:00
131,5/16/2022 0:00
132,5/17/2022 0:00
133,5/18/2022 0:00
134,5/19/2022 0:00
135,5/14/2022 0:00
136,5/15/2022 0:00
137,5/16/2022 0:00
138,5/17/2022 0:00
139,5/18/2022 0:00
140,5/19/2022 0:00
141,5/14/2022 0:00
142,5/15/2022 0:00
143,5/16/2022 0:00
144,5/17/2022 0:00
145,5/18/2022 0:00
146,5/19/2022 0:00
147,5/14/2022 0:00
148,5/15/2022 0:00
149,5/16/2022 0:00
150,5/17/2022 0:00
151,5/18/2022 0:00
152,5/19/2022 0:00
153,5/14/2022 0:00
154,5/15/2022 0:00
155,5/16/2022 0:00
156,5/17/2022 0:00
157,5/18/2022 0:00
158,5/19/2022 0:00
159,5/14/2022 0:00
160,5/15/2022 0:00
161,5/16/2022 0:00
162,5/17/2022 0:00
163,5/18/2022 0:00
164,5/19/2022 0:00
165,5/14/2022 0:00
166,5/15/2022 0:00
167,5/16/2022 0:00
168,5/17/2022 0:00
169,5/18/2022 0:00
170,5/19/2022 0:00
171,5/14/2022 0:00
172,5/15/2022 0:00
173,5/16/2022 0:00
174,5/17/2022 0:00
175,5/18/2022 0:00
176,5/19/2022 0:00
177,5/14/2022 0:00
178,5/15/2022 0:00
179,5/16/2022 0:00
180,5/17/2022 0:00
181,5/18/2022 0:00
182,5/19/2022 0:00
183,5/14/2022 0:00
184,5/15/2022 0:00
185,5/16/2022 0:00
186,5/17/2022 0:00
187,5/18/2022 0:00
188,5/19/2022 0:00
189,5/14/2022 0:00
190,5/15/2022 0:00
191,5/16/2022 0:00
192,5/17/2022 0:00
193,5/18/2022 0:00
194,5/19/2022 0:00
195,5/14/2022 0:00
196,5/15/2022 0:00
197,5/16/2022 0:00
198,5/17/2022 0:00
199,5/18/2022 0:00
200,5/19/2022 0:00
201,5/14/2022 0:00
202,5/15/2022 0:00
203,5/16/2022 0:00
204,5/17/2022 0:00
205,5/18/2022 0:00
206,5/19/2022 0:00
207,5/14/2022 0:00
208,5/15/2022 0:00
209,5/16/2022 0:00
210,5/17/2022 0:00
211,5/18/2022 0:00
212,5/19/2022 0:00
213,5/14/2022 0:00
214,5/15/2022 0:00
215,5/16/2022 0:00
216,5/17/2022 0:00
217,5/18/2022 0:00
218,5/19/2022 0:00
219,5/14/2022 0:00
220,5/15/2022 0:00
221,5/16/2022 0:00
222,5/17/2022 0:00
223,5/18/2022 0:00
224,5/19/2022 0:00
225,5/14/2022 0:00
226,5/15/2022 0:00
227,5/16/2022 0:00
228,5/17/2022 0:00
229,5/18/2022 0:00
230,5/19/2022 0:00
231,5/14/2022 0:00
232,5/15/2022 0:00
233,5/16/2022 0:00
234,5/17/2022 0:00
235,5/18/2022 0:00
236,5/19/2022 0:00
237,5/14/2022 0:00
238,5/15/2022 0:00
239,5/16/2022 0:00
240,5/17/2022 0:00
241,5/18/2022 0:00
242,5/19/2022 0:00
243,5/14/2022 0:00
244,5/15/2022 0:00
245,5/16/2022 0:00
246,5/17/2022 0:00
247,5/18/2022 0:00
248,5/19/2022 0:00
249,5/14/2022 0:00
250,5/15/2022 0:00
251,5/16/2022 0:00
252,5/17/2022 0:00
253,5/18/2022 0:00
254,5/19/2022 0:00
255,5/14/2022 0:00
256,5/15/2022 0:00
257,5/16/2022 0:00
258,5/17/2022 0:00
259,5/18/2022 0:00
260,5/19/2022 0:00
261,5/14/2022 0:00
262,5/15/2022 0:00
263,5/16/2022 0:00
264,5/17/2022 0:00
265,5/18/2022 0:00
266,5/19/2022 0:00
267,5/14/2022 0:00
268,5/15/2022 0:00
269,5/16/2022 0:00
270,5/17/2022 0:00
271,5/18/2022 0:00
272,5/19/2022 0:00
273,5/14/2022 0:00
274,5/15/2022 0:00
275,5/16/2022 0:00
276,5/17/2022 0:00
277,5/18/2022 0:00
278,5/19/2022 0:00
279,5/14/2022 0:00
280,5/15/2022 0:00
281,5/16/2022 0:00
282,5/17/2022 0:00
283,5/18/2022 0:00
284,5/19/2022 0:00
285,5/14/2022 0:00
286,5/15/2022 0:00
287,5/16/2022 0:00
288,5/17/2022 0:00
289,5/18/2022 0:00
290,5/19/2022 0:00
291,5/14/2022 0:00
292,5/15/2022 0:00
293,5/16/2022 0:00
294,5/17/2022 0:00
295,5/18/2022 0:00
296,5/19/2022 0:00
297,5/14/2022 0:00
298,5/15/2022 0:00
299,5/16/2022 0:00
300,5/17/2022 0:00
301,5/18/2022 0:00
302,5/19/2022 0:00
303,5/14/2022 0:00
304,5/15/2022 0:00
305,5/16/2022 0:00
306,5/17/2022 0:00
307,5/18/2022 0:00
308,5/19/2022 0:00
309,5/14/2022 0:00
310,5/15/2022 0:00
311,5/16/2022 0:00
312,5/17/2022 0:00
313,5/18/2022 0:00
314,5/19/2022 0:00
315,5/14/2022 0:00
316,5/15/2022 0:00
317,5/16/2022 0:00
318,5/17/2022 0:00
319,5/18/2022 0:00
320,5/19/2022 0:00
321,5/14/2022 0:00
322,5/15/2022 0:00
323,5/16/2022 0:00
324,5/17/2022 0:00
325,5/18/2022 0:00
326,5/19/2022 0:00
327,5/14/2022 0:00
328,5/15/2022 0:00
329,5/16/2022 0:00
330,5/17/2022 0:00
331,5/18/2022 0:00
332,5/19/2022 0:00
333,5/14/2022 0:00
334,5/15/2022 0:00
335,5/16/2022 0:00
336,5/17/2022 0:00
337,5/18/2022 0:00
338,5/19/2022 0:00
339,5/14/2022 0:00
340,5/15/2022 0:00
341,5/16/2022 0:00
342,5/17/2022 0:00
343,5/18/2022 0:00
344,5/19/2022 0:00
345,5/14/2022 0:00
346,5/15/2022 0:00
347,5/16/2022 0:00
348,5/17/2022 0:00
349,5/18/2022 0:00
350,5/19/2022 0:00
351,5/14/2022 0:00
352,5/15/2022 0:00
