LoanID,IssuDate,FinalDate,LoanAmount,InterestRate,DTI,TotalRecPrncp,Recoveries,Installment,TermInMonths,LoanDetailsID,DisbursementID,BorrowerID,BranchID
1,1/12/2011,1/12/2015,5000,10.65,27.65,5000,0,162.87,36,1,1,1077501,B1
2,1/12/2011,1/12/2015,2500,15.27,1,456.46,117.08,59.83,60,2,1,1077430,B2
3,1/12/2011,1/12/2015,2400,15.96,8.72,2400,0,84.33,36,3,1,1077175,B3
4,1/12/2011,1/12/2015,10000,13.49,20,10000,0,339.31,36,4,1,1076863,B4
5,1/12/2011,1/12/2015,3000,12.69,17.94,2233.1,0,67.79,60,5,1,1075358,B2
6,1/12/2011,1/12/2015,5000,7.9,11.2,5000,0,156.46,36,6,1,1075269,B2
7,1/12/2011,1/12/2015,7000,15.96,23.51,5110.85,0,170.08,60,7,1,1069639,B2
8,1/12/2011,1/12/2015,3000,18.64,5.35,3000,0,109.43,36,8,2,1072053,B5
9,1/12/2011,1/12/2015,5600,21.28,5.55,162.02,189.06,152.39,60,9,1,1071795,B2
10,1/12/2011,1/12/2015,5375,12.69,18.08,673.48,269.29,121.45,60,10,1,1071570,B2
11,1/12/2011,1/12/2015,6500,14.65,16.12,6500,0,153.45,60,11,1,1070078,B2
12,1/12/2011,1/12/2015,12000,12.69,10.78,12000,0,402.54,36,12,2,1069908,B2
13,1/12/2011,1/12/2015,9000,13.49,10.08,1256.14,444.3,305.38,36,13,1,1064687,B3
14,1/12/2011,1/12/2015,3000,9.91,12.56,3000,0,96.68,36,14,1,1069866,B2
15,1/12/2011,1/12/2015,10000,10.65,7.06,5433.47,645.1,325.74,36,15,1,1069057,B3
16,1/12/2011,1/12/2015,1000,16.29,20.31,1000,0,35.31,36,16,1,1069759,B2
17,1/12/2011,1/12/2015,10000,15.27,18.6,10000,0,347.98,36,17,1,1065775,B6
18,1/12/2011,1/12/2015,3600,6.03,10.52,3600,0,109.57,36,18,1,1069971,B7
19,1/12/2011,1/12/2015,6000,11.71,18.44,6000,0,198.46,36,19,1,1062474,B8
20,1/12/2011,1/12/2015,9200,6.03,9.86,9200,0,280.01,36,20,1,1069742,B9
21,1/12/2011,1/12/2015,20250,15.27,26.53,20250,0,484.63,60,21,1,1069740,B10
22,1/12/2011,1/12/2015,21000,12.42,13.22,10694.96,0,701.73,36,22,1,1039153,B11
23,1/12/2011,1/12/2015,10000,11.71,11.18,10000,0,330.76,36,23,1,1069710,B12
24,1/12/2011,1/12/2015,10000,11.71,16.01,10000,0,330.76,36,24,1,1069700,B2
25,1/12/2011,1/12/2015,6000,11.71,2.4,1305.58,269.31,198.46,36,25,1,1069559,B2
26,1/12/2011,1/12/2015,15000,9.91,29.44,15000,0,483.38,36,26,1,1069697,B13
27,1/12/2011,1/12/2015,15000,14.27,15.22,0,0,514.64,36,27,1,1069800,B2
28,1/12/2011,1/12/2015,5000,16.77,13.97,629.05,260.96,123.65,60,28,1,1069657,B6
29,1/12/2011,1/12/2015,4000,11.71,5.63,4000,0,132.31,36,29,1,1069799,B13
30,1/12/2011,1/12/2015,8500,11.71,12.19,8500,0,281.15,36,30,1,1047704,B14
31,1/12/2011,1/12/2015,4375,7.51,20.34,4375,0,136.11,36,31,1,1032111,B15
32,1/12/2011,1/12/2015,31825,7.9,14.03,31825,0,995.82,36,32,1,1069539,B8
33,1/12/2011,1/12/2015,10000,15.96,22.83,7304.67,0,242.97,60,33,1,1065420,B14
34,1/12/2011,1/12/2015,5000,8.9,11.93,5000,0,158.77,36,34,1,1069591,B16
35,1/12/2011,1/12/2015,7000,15.96,6.35,7000,0,245.97,36,35,2,1069530,B17
36,1/12/2011,1/12/2015,12400,10.65,11.8,12400,0,403.91,36,36,1,1069522,B7
37,1/12/2011,1/12/2015,10800,9.91,5.5,10800,0,348.03,36,37,1,1069361,B14
38,1/12/2011,1/12/2015,15000,7.9,8.48,15000,0,469.36,36,38,1,1069357,B14
39,1/12/2011,1/12/2015,6000,12.42,10.62,6000,0,200.5,36,39,2,1069356,B3
40,1/12/2011,1/12/2015,12500,12.69,16.04,9306.87,0,282.44,60,40,1,1069346,B18
41,1/12/2011,1/12/2015,9600,7.51,6.63,9600,0,298.67,36,41,1,1067573,B17
42,1/12/2011,1/12/2015,12000,7.9,16.7,12000,0,375.49,36,42,1,1069506,B15
43,1/12/2011,1/12/2015,3000,18.25,17.39,3000,0,108.84,36,43,2,1069314,B19
44,1/12/2011,1/12/2015,4400,16.77,20.01,4400,0,156.37,36,44,1,1060578,B17
