LoanDetailsID,Year,Term,ApplicationType,LoanCondition
1,2011, 36 months,INDIVIDUAL,Good Loan
2,2011, 60 months,INDIVIDUAL,Bad Loan
3,2011, 36 months,INDIVIDUAL,Good Loan
4,2011, 36 months,INDIVIDUAL,Good Loan
5,2011, 60 months,INDIVIDUAL,Good Loan
6,2011, 36 months,INDIVIDUAL,Good Loan
7,2011, 60 months,INDIVIDUAL,Good Loan
8,2011, 36 months,INDIVIDUAL,Good Loan
9,2011, 60 months,INDIVIDUAL,Bad Loan
10,2011, 60 months,INDIVIDUAL,Bad Loan
11,2011, 60 months,INDIVIDUAL,Good Loan
12,2011, 36 months,INDIVIDUAL,Good Loan
13,2011, 36 months,INDIVIDUAL,Bad Loan
14,2011, 36 months,INDIVIDUAL,Good Loan
15,2011, 36 months,INDIVIDUAL,Bad Loan
16,2011, 36 months,INDIVIDUAL,Good Loan
17,2011, 36 months,INDIVIDUAL,Good Loan
18,2011, 36 months,INDIVIDUAL,Good Loan
19,2011, 36 months,INDIVIDUAL,Good Loan
20,2011, 36 months,INDIVIDUAL,Good Loan
21,2011, 60 months,INDIVIDUAL,Good Loan
22,2011, 36 months,INDIVIDUAL,Bad Loan
23,2011, 36 months,INDIVIDUAL,Good Loan
24,2011, 36 months,INDIVIDUAL,Good Loan
25,2011, 36 months,INDIVIDUAL,Bad Loan
26,2011, 36 months,INDIVIDUAL,Good Loan
27,2011, 36 months,INDIVIDUAL,Bad Loan
28,2011, 60 months,INDIVIDUAL,Bad Loan
29,2011, 36 months,INDIVIDUAL,Good Loan
30,2011, 36 months,INDIVIDUAL,Good Loan
31,2011, 36 months,INDIVIDUAL,Good Loan
32,2011, 36 months,INDIVIDUAL,Good Loan
33,2011, 60 months,INDIVIDUAL,Good Loan
34,2011, 36 months,INDIVIDUAL,Good Loan
35,2011, 36 months,INDIVIDUAL,Good Loan
36,2011, 36 months,INDIVIDUAL,Good Loan
37,2011, 36 months,INDIVIDUAL,Good Loan
38,2011, 36 months,INDIVIDUAL,Good Loan
39,2011, 36 months,INDIVIDUAL,Good Loan
40,2011, 60 months,INDIVIDUAL,Good Loan
41,2011, 36 months,INDIVIDUAL,Good Loan
42,2011, 36 months,INDIVIDUAL,Good Loan
43,2011, 36 months,INDIVIDUAL,Good Loan
44,2011, 36 months,INDIVIDUAL,Good Loan
45,2011, 36 months,INDIVIDUAL,Good Loan
46,2011, 36 months,INDIVIDUAL,Good Loan
47,2011, 36 months,INDIVIDUAL,Bad Loan
48,2011, 36 months,INDIVIDUAL,Good Loan
49,2011, 36 months,INDIVIDUAL,Good Loan
50,2011, 36 months,INDIVIDUAL,Good Loan
51,2011, 36 months,INDIVIDUAL,Bad Loan
52,2011, 36 months,INDIVIDUAL,Good Loan
53,2011, 36 months,INDIVIDUAL,Good Loan
54,2011, 36 months,INDIVIDUAL,Bad Loan
55,2011, 36 months,INDIVIDUAL,Good Loan
56,2011, 60 months,INDIVIDUAL,Bad Loan
57,2011, 60 months,INDIVIDUAL,Good Loan
58,2011, 36 months,INDIVIDUAL,Good Loan
59,2011, 36 months,INDIVIDUAL,Good Loan
60,2011, 36 months,INDIVIDUAL,Good Loan
61,2011, 60 months,INDIVIDUAL,Good Loan
62,2011, 60 months,INDIVIDUAL,Good Loan
63,2011, 60 months,INDIVIDUAL,Good Loan
64,2011, 36 months,INDIVIDUAL,Good Loan
65,2011, 60 months,INDIVIDUAL,Bad Loan
66,2011, 36 months,INDIVIDUAL,Good Loan
67,2011, 60 months,INDIVIDUAL,Bad Loan
68,2011, 36 months,INDIVIDUAL,Good Loan
69,2011, 60 months,INDIVIDUAL,Bad Loan
70,2011, 36 months,INDIVIDUAL,Good Loan
71,2011, 60 months,INDIVIDUAL,Good Loan
72,2011, 36 months,INDIVIDUAL,Bad Loan
73,2011, 36 months,INDIVIDUAL,Good Loan
74,2011, 36 months,INDIVIDUAL,Good Loan
75,2011, 36 months,INDIVIDUAL,Good Loan
76,2011, 36 months,INDIVIDUAL,Good Loan
77,2011, 36 months,INDIVIDUAL,Good Loan
78,2011, 60 months,INDIVIDUAL,Good Loan
79,2011, 36 months,INDIVIDUAL,Good Loan
80,2011, 60 months,INDIVIDUAL,Good Loan
81,2011, 60 months,INDIVIDUAL,Good Loan
82,2011, 36 months,INDIVIDUAL,Good Loan
83,2011, 36 months,INDIVIDUAL,Good Loan
